Nama Satuan Pendidikan;NPSN;Bentuk Pendidikan;Nomor Whatsapp;Nama Lengkap;Email/username;Password
SMAS ISLAM KEPANJEN;20517837;SMA;0812345739;SMAS ISLAM KEPANJEN;20517837.SMA@gmail.com;20517837_SMA
SMAS ISLAM NU PUJON;20517838;SMA;0812345740;SMAS ISLAM NU PUJON;20517838.SMA@gmail.com;20517838_SMA
SMAS ISLAM SOERJO ALAM NGAJUM;20560633;SMA;0812345741;SMAS ISLAM SOERJO ALAM NGAJUM;20560633.SMA@gmail.com;20560633_SMA
SMAS JENDERAL SUDIRMAN KALIPARE;20517839;SMA;0812345742;SMAS JENDERAL SUDIRMAN KALIPARE;20517839.SMA@gmail.com;20517839_SMA
SMAS K YOS SUDARSO KEPANJEN;20517727;SMA;0812345743;SMAS K YOS SUDARSO KEPANJEN;20517727.SMA@gmail.com;20517727_SMA
SMAS KHOIRUDDIN GONDANGLEGI;20517840;SMA;0812345744;SMAS KHOIRUDDIN GONDANGLEGI;20517840.SMA@gmail.com;20517840_SMA
SMAS MAARIF LAWANG;20517830;SMA;0812345745;SMAS MAARIF LAWANG;20517830.SMA@gmail.com;20517830_SMA
SMAS MAHAPUTRA AMPELGADING;20517843;SMA;0812345746;SMAS MAHAPUTRA AMPELGADING;20517843.SMA@gmail.com;20517843_SMA
SMAS MAMBA UNNUR;20558808;SMA;0812345747;SMAS MAMBA UNNUR;20558808.SMA@gmail.com;20558808_SMA
SMAS MODERN AL RIFA IE GONDANGLEGI;69946584;SMA;0812345748;SMAS MODERN AL RIFA IE GONDANGLEGI;69946584.SMA@gmail.com;69946584_SMA
SMAS MUHAMMADIYAH 1 KEPANJEN;20517816;SMA;0812345749;SMAS MUHAMMADIYAH 1 KEPANJEN;20517816.SMA@gmail.com;20517816_SMA
SMAS MUHAMMADIYAH 2 SUMBERPUCUNG;20517829;SMA;0812345750;SMAS MUHAMMADIYAH 2 SUMBERPUCUNG;20517829.SMA@gmail.com;20517829_SMA
SMAS NAHDLATUL ULAMA KEPANJEN;20517818;SMA;0812345751;SMAS NAHDLATUL ULAMA KEPANJEN;20517818.SMA@gmail.com;20517818_SMA
SMAS NAHDLATUL ULAMA PAKIS;20517817;SMA;0812345752;SMAS NAHDLATUL ULAMA PAKIS;20517817.SMA@gmail.com;20517817_SMA
SMAS PGRI 1 KROMENGAN;20517819;SMA;0812345753;SMAS PGRI 1 KROMENGAN;20517819.SMA@gmail.com;20517819_SMA
SMAS PGRI GEDANGAN;20517820;SMA;0812345754;SMAS PGRI GEDANGAN;20517820.SMA@gmail.com;20517820_SMA
SMAS PGRI KEPANJEN;20517821;SMA;0812345755;SMAS PGRI KEPANJEN;20517821.SMA@gmail.com;20517821_SMA
SMAS PGRI LAWANG;20517822;SMA;0812345756;SMAS PGRI LAWANG;20517822.SMA@gmail.com;20517822_SMA
SMAS PLUS DARUSSALAM;20517826;SMA;0812345757;SMAS PLUS DARUSSALAM;20517826.SMA@gmail.com;20517826_SMA
SMAS RAUDLATUL ULUM GONDANGLEGI;20517827;SMA;0812345758;SMAS RAUDLATUL ULUM GONDANGLEGI;20517827.SMA@gmail.com;20517827_SMA
SMAS SUNAN KALIJOGO JABUNG;20517828;SMA;0812345759;SMAS SUNAN KALIJOGO JABUNG;20517828.SMA@gmail.com;20517828_SMA
SMAS TAMAN MADYA DONOMULYO;20517844;SMA;0812345760;SMAS TAMAN MADYA DONOMULYO;20517844.SMA@gmail.com;20517844_SMA
SMAS TRI MURTI 01 PAKISAJI;20517782;SMA;0812345761;SMAS TRI MURTI 01 PAKISAJI;20517782.SMA@gmail.com;20517782_SMA
SMAS WIDYA DHARMA TUREN;20517711;SMA;0812345762;SMAS WIDYA DHARMA TUREN;20517711.SMA@gmail.com;20517711_SMA
SMAS YBPK PUJIHARJO TIRTOYUDO;20559022;SMA;0812345763;SMAS YBPK PUJIHARJO TIRTOYUDO;20559022.SMA@gmail.com;20559022_SMA
SMK AHMAD YANI JABUNG;20537351;SMK;0812345764;SMK AHMAD YANI JABUNG;20537351.SMK@gmail.com;20537351_SMK
SMK AKBAR KEDUNG SALAM;69922095;SMK;0812345765;SMK AKBAR KEDUNG SALAM;69922095.SMK@gmail.com;69922095_SMK
SMK AL ALAA MADINATUL ALMUNAWAROH;70001035;SMK;0812345766;SMK AL ALAA MADINATUL ALMUNAWAROH;70001035.SMK@gmail.com;70001035_SMK
SMK AL FIRDAUS KARANGPLOSO;69820142;SMK;0812345767;SMK AL FIRDAUS KARANGPLOSO;69820142.SMK@gmail.com;69820142_SMK
SMK AL FITHRAH MALANG;69946510;SMK;0812345768;SMK AL FITHRAH MALANG;69946510.SMK@gmail.com;69946510_SMK
SMK ALAM PUJON;69959257;SMK;0812345769;SMK ALAM PUJON;69959257.SMK@gmail.com;69959257_SMK
SMK ALI UTSMAN GONDANGLEGI;70015396;SMK;0812345770;SMK ALI UTSMAN GONDANGLEGI;70015396.SMK@gmail.com;70015396_SMK
SMK AN NUR BULULAWANG;69830459;SMK;0812345771;SMK AN NUR BULULAWANG;69830459.SMK@gmail.com;69830459_SMK
SMK AN-NUR AL MUNIR DAMPIT;70005555;SMK;0812345772;SMK AN-NUR AL MUNIR DAMPIT;70005555.SMK@gmail.com;70005555_SMK
SMK AR ROUDLOH GEDANGAN;20557257;SMK;0812345773;SMK AR ROUDLOH GEDANGAN;20557257.SMK@gmail.com;20557257_SMK
SMK ASH SHOLIHUDDIN DAMPIT;69944430;SMK;0812345774;SMK ASH SHOLIHUDDIN DAMPIT;69944430.SMK@gmail.com;69944430_SMK
SMK AZHARUL ULUM 01;70015397;SMK;0812345775;SMK AZHARUL ULUM 01;70015397.SMK@gmail.com;70015397_SMK
SMK BINA KARTIKA NUSANTARA;20577453;SMK;0812345776;SMK BINA KARTIKA NUSANTARA;20577453.SMK@gmail.com;20577453_SMK
SMK BINA SEJAHTERA MANDIRI;70030531;SMK;0812345777;SMK BINA SEJAHTERA MANDIRI;70030531.SMK@gmail.com;70030531_SMK
SMK CENDIKIA MADINAH DAMPIT;69902568;SMK;0812345778;SMK CENDIKIA MADINAH DAMPIT;69902568.SMK@gmail.com;69902568_SMK
SMK DARUL ITQON;70002814;SMK;0812345779;SMK DARUL ITQON;70002814.SMK@gmail.com;70002814_SMK
SMK DARUL MUTTAQIN TUREN;69964787;SMK;0812345780;SMK DARUL MUTTAQIN TUREN;69964787.SMK@gmail.com;69964787_SMK
SMK DARUSAADAH PONCOKUSUMO;69966937;SMK;0812345781;SMK DARUSAADAH PONCOKUSUMO;69966937.SMK@gmail.com;69966937_SMK
SMK DARUSSALAM GEDANGAN;69964625;SMK;0812345782;SMK DARUSSALAM GEDANGAN;69964625.SMK@gmail.com;69964625_SMK
SMK DHARMA WANITA 02 WAJAK;69965589;SMK;0812345783;SMK DHARMA WANITA 02 WAJAK;69965589.SMK@gmail.com;69965589_SMK
SMK GRAHA MADINA SINGOSARI;69930561;SMK;0812345784;SMK GRAHA MADINA SINGOSARI;69930561.SMK@gmail.com;69930561_SMK
SMK ISLAM GONDANGLEGI;69830462;SMK;0812345785;SMK ISLAM GONDANGLEGI;69830462.SMK@gmail.com;69830462_SMK
SMK IT ASY - SYADZILI;69964474;SMK;0812345786;SMK IT ASY - SYADZILI;69964474.SMK@gmail.com;69964474_SMK
SMK KESEHATAN MADANI INDONESIA KARANGPLOSO;69820143;SMK;0812345787;SMK KESEHATAN MADANI INDONESIA KARANGPLOSO;69820143.SMK@gmail.com;69820143_SMK
SMK MA`WATTAIBIN;70035550;SMK;0812345788;SMK MA`WATTAIBIN;70035550.SMK@gmail.com;70035550_SMK
SMK MANDIRI;69967295;SMK;0812345789;SMK MANDIRI;69967295.SMK@gmail.com;69967295_SMK
SMK MUHAMMADIYAH 3 SINGOSARI;20517761;SMK;0812345790;SMK MUHAMMADIYAH 3 SINGOSARI;20517761.SMK@gmail.com;20517761_SMK
SMK MULTIMEDIA TUMPANG;20584054;SMK;0812345791;SMK MULTIMEDIA TUMPANG;20584054.SMK@gmail.com;20584054_SMK
SMK MUTIARA HARAPAN LAWANG;69930569;SMK;0812345792;SMK MUTIARA HARAPAN LAWANG;69930569.SMK@gmail.com;69930569_SMK
SMK NAHDLATUL ULAMA DONOMULYO;69966571;SMK;0812345793;SMK NAHDLATUL ULAMA DONOMULYO;69966571.SMK@gmail.com;69966571_SMK
SMK NEGERI WONOSARI;69978683;SMK;0812345794;SMK NEGERI WONOSARI;69978683.SMK@gmail.com;69978683_SMK
SMK NH MULTIMEDIA PONCOKUSUMO;20577374;SMK;0812345795;SMK NH MULTIMEDIA PONCOKUSUMO;20577374.SMK@gmail.com;20577374_SMK
SMK NU BULULAWANG;20517768;SMK;0812345796;SMK NU BULULAWANG;20517768.SMK@gmail.com;20517768_SMK
SMK NURUL HUDA;69964476;SMK;0812345797;SMK NURUL HUDA;69964476.SMK@gmail.com;69964476_SMK
SMK NURUL HUDA SINGOSARI;69966693;SMK;0812345798;SMK NURUL HUDA SINGOSARI;69966693.SMK@gmail.com;69966693_SMK
SMK NURUSSALAM;70030533;SMK;0812345799;SMK NURUSSALAM;70030533.SMK@gmail.com;70030533_SMK
SMK PERMATAJINGGA;70049046;SMK;0812345800;SMK PERMATAJINGGA;70049046.SMK@gmail.com;70049046_SMK
SMK PRODUKTIF AL ISLAM;69968132;SMK;0812345801;SMK PRODUKTIF AL ISLAM;69968132.SMK@gmail.com;69968132_SMK
SMK SIROJUL ULUM GONDANGLEGI;69966677;SMK;0812345802;SMK SIROJUL ULUM GONDANGLEGI;69966677.SMK@gmail.com;69966677_SMK
SMK UTAMA;69968602;SMK;0812345803;SMK UTAMA;69968602.SMK@gmail.com;69968602_SMK
SMKN 1 AMPELGADING;69772576;SMK;0812345804;SMKN 1 AMPELGADING;69772576.SMK@gmail.com;69772576_SMK
SMKN 1 GEDANGAN;20570779;SMK;0812345805;SMKN 1 GEDANGAN;20570779.SMK@gmail.com;20570779_SMK
SMKN 1 KEPANJEN;20564067;SMK;0812345806;SMKN 1 KEPANJEN;20564067.SMK@gmail.com;20564067_SMK
SMKN 1 PUJON;20549216;SMK;0812345807;SMKN 1 PUJON;20549216.SMK@gmail.com;20549216_SMK
SMKN 1 SINGOSARI;20517766;SMK;0812345808;SMKN 1 SINGOSARI;20517766.SMK@gmail.com;20517766_SMK
SMKN 1 TUREN;20517767;SMK;0812345809;SMKN 1 TUREN;20517767.SMK@gmail.com;20517767_SMK
SMKN 2 SINGOSARI;20566286;SMK;0812345810;SMKN 2 SINGOSARI;20566286.SMK@gmail.com;20566286_SMK
SMKN 2 TUREN;20549215;SMK;0812345811;SMKN 2 TUREN;20549215.SMK@gmail.com;20549215_SMK
SMKS 10 NOPEMBER BULULAWANG;20517725;SMK;0812345812;SMKS 10 NOPEMBER BULULAWANG;20517725.SMK@gmail.com;20517725_SMK
SMKS AL - HUDA WAJAK;69734050;SMK;0812345813;SMKS AL - HUDA WAJAK;69734050.SMK@gmail.com;69734050_SMK
SMKS AL - MUNAWWARIYYAH;20566375;SMK;0812345814;SMKS AL - MUNAWWARIYYAH;20566375.SMK@gmail.com;20566375_SMK
SMKS AL KAAFFAH KEPANJEN;20569011;SMK;0812345815;SMKS AL KAAFFAH KEPANJEN;20569011.SMK@gmail.com;20569011_SMK
SMKS AL KHOZINI GONDANGLEGI;20564080;SMK;0812345816;SMKS AL KHOZINI GONDANGLEGI;20564080.SMK@gmail.com;20564080_SMK
SMKS AL- FALAH GONDANGLEGI;69726603;SMK;0812345817;SMKS AL- FALAH GONDANGLEGI;69726603.SMK@gmail.com;69726603_SMK
SMKS AL-HIKMAH PONCOKUSUMO;69787567;SMK;0812345818;SMKS AL-HIKMAH PONCOKUSUMO;69787567.SMK@gmail.com;69787567_SMK
SMKS AL-LATHIFI GONDANG LEGI;20577837;SMK;0812345819;SMKS AL-LATHIFI GONDANG LEGI;20577837.SMK@gmail.com;20577837_SMK
SMKS ASSALAM BANTUR;20564082;SMK;0812345820;SMKS ASSALAM BANTUR;20564082.SMK@gmail.com;20564082_SMK
SMKS ASY SYAFIIYAH PAKISAJI;20564081;SMK;0812345821;SMKS ASY SYAFIIYAH PAKISAJI;20564081.SMK@gmail.com;20564081_SMK
SMKS BABUSSALAM;20564083;SMK;0812345822;SMKS BABUSSALAM;20564083.SMK@gmail.com;20564083_SMK
SMKS BINA BANGSA DAMPIT;20517714;SMK;0812345823;SMKS BINA BANGSA DAMPIT;20517714.SMK@gmail.com;20517714_SMK
SMKS BRANTAS KARANGKATES;20517712;SMK;0812345824;SMKS BRANTAS KARANGKATES;20517712.SMK@gmail.com;20517712_SMK
SMKS BUDI MULIA PAKISAJI;20549518;SMK;0812345825;SMKS BUDI MULIA PAKISAJI;20549518.SMK@gmail.com;20549518_SMK
SMKS BUDI UTOMO KEPANJEN;20517713;SMK;0812345826;SMKS BUDI UTOMO KEPANJEN;20517713.SMK@gmail.com;20517713_SMK
SMKS CENDIKA BANGSA KEPANJEN;20552911;SMK;0812345827;SMKS CENDIKA BANGSA KEPANJEN;20552911.SMK@gmail.com;20552911_SMK
SMKS DARUL FIKAR AL LATIFI PONCOKUSUMO;20558302;SMK;0812345828;SMKS DARUL FIKAR AL LATIFI PONCOKUSUMO;20558302.SMK@gmail.com;20558302_SMK
SMKS DARUL HIKAM BANTUR;20571034;SMK;0812345829;SMKS DARUL HIKAM BANTUR;20571034.SMK@gmail.com;20571034_SMK
SMKS DARUL HIKMAH SUMBERMANJING;69726601;SMK;0812345830;SMKS DARUL HIKMAH SUMBERMANJING;69726601.SMK@gmail.com;69726601_SMK
SMKS DARUL KAROMAH;69766191;SMK;0812345831;SMKS DARUL KAROMAH;69766191.SMK@gmail.com;69766191_SMK
SMKS DHARMA WANITA KROMENGAN;20517715;SMK;0812345832;SMKS DHARMA WANITA KROMENGAN;20517715.SMK@gmail.com;20517715_SMK
SMKS DHARMA WANITA PAGELARAN;69766190;SMK;0812345833;SMKS DHARMA WANITA PAGELARAN;69766190.SMK@gmail.com;69766190_SMK
SMKS DIPONEGORO TUMPANG;20568697;SMK;0812345834;SMKS DIPONEGORO TUMPANG;20568697.SMK@gmail.com;20568697_SMK
SMKS HIDAYATUL MUBTADI`IN;20564084;SMK;0812345835;SMKS HIDAYATUL MUBTADI`IN;20564084.SMK@gmail.com;20564084_SMK
SMKS IBNU ABBAS BANTUR;20570899;SMK;0812345836;SMKS IBNU ABBAS BANTUR;20570899.SMK@gmail.com;20570899_SMK
SMKS ISLAM AHMAD YANI NGANTANG;20517717;SMK;0812345837;SMKS ISLAM AHMAD YANI NGANTANG;20517717.SMK@gmail.com;20517717_SMK
SMKS ISLAM AN NUURU TIRTOYUDO;20562657;SMK;0812345838;SMKS ISLAM AN NUURU TIRTOYUDO;20562657.SMK@gmail.com;20562657_SMK
SMKS ISLAM DARUT TAUHID PAGELARAN;69761919;SMK;0812345839;SMKS ISLAM DARUT TAUHID PAGELARAN;69761919.SMK@gmail.com;69761919_SMK
SMKS ISLAM DONOMULYO;20517716;SMK;0812345840;SMKS ISLAM DONOMULYO;20517716.SMK@gmail.com;20517716_SMK
SMKS ISLAM KALIPARE;20564085;SMK;0812345841;SMKS ISLAM KALIPARE;20564085.SMK@gmail.com;20564085_SMK
SMKS ISLAM KEPANJEN;20564240;SMK;0812345842;SMKS ISLAM KEPANJEN;20564240.SMK@gmail.com;20564240_SMK
SMKS IT ARROHMAH KEPANJEN;20557258;SMK;0812345843;SMKS IT ARROHMAH KEPANJEN;20557258.SMK@gmail.com;20557258_SMK
SMKS JAYANEGARA LAWANG;20552642;SMK;0812345844;SMKS JAYANEGARA LAWANG;20552642.SMK@gmail.com;20552642_SMK
SMKS KARTIKA IV 2 LAWANG;20517718;SMK;0812345845;SMKS KARTIKA IV 2 LAWANG;20517718.SMK@gmail.com;20517718_SMK
SMKS KARYA BAKTI TIRTOYUDO;20564086;SMK;0812345846;SMKS KARYA BAKTI TIRTOYUDO;20564086.SMK@gmail.com;20564086_SMK
SMKS KEPANJEN MALANG;20517726;SMK;0812345847;SMKS KEPANJEN MALANG;20517726.SMK@gmail.com;20517726_SMK
SMKS KHAIRUDDIN GONDANGLEGI;20517719;SMK;0812345848;SMKS KHAIRUDDIN GONDANGLEGI;20517719.SMK@gmail.com;20517719_SMK
SMKS KOSGORO 1 LAWANG;20517721;SMK;0812345849;SMKS KOSGORO 1 LAWANG;20517721.SMK@gmail.com;20517721_SMK
SMKS KOSGORO 2 NGANTANG;20517722;SMK;0812345850;SMKS KOSGORO 2 NGANTANG;20517722.SMK@gmail.com;20517722_SMK
SMKS KOSGORO 4 KARANG PLOSO;20517720;SMK;0812345851;SMKS KOSGORO 4 KARANG PLOSO;20517720.SMK@gmail.com;20517720_SMK
SMKS MAARIF 3 TUREN;20517740;SMK;0812345852;SMKS MAARIF 3 TUREN;20517740.SMK@gmail.com;20517740_SMK
SMKS MAARIF NU 4 PAKIS;20517741;SMK;0812345853;SMKS MAARIF NU 4 PAKIS;20517741.SMK@gmail.com;20517741_SMK
SMKS MADANI TUREN;69755818;SMK;0812345854;SMKS MADANI TUREN;69755818.SMK@gmail.com;69755818_SMK
SMKS MAHARDIKA KARANGPLOSO;20549520;SMK;0812345855;SMKS MAHARDIKA KARANGPLOSO;20549520.SMK@gmail.com;20549520_SMK
SMKS MAMBAUL JADID;69755817;SMK;0812345856;SMKS MAMBAUL JADID;69755817.SMK@gmail.com;69755817_SMK
SMKS MIFTAHUL ULUM PAGELARAN;20549521;SMK;0812345857;SMKS MIFTAHUL ULUM PAGELARAN;20549521.SMK@gmail.com;20549521_SMK
SMKS MODERN AL-RIFA`IE GONDANGLEGI;20577359;SMK;0812345858;SMKS MODERN AL-RIFA`IE GONDANGLEGI;20577359.SMK@gmail.com;20577359_SMK
SMKS MUHAMMADIYAH 1 KEPANJEN;20517759;SMK;0812345859;SMKS MUHAMMADIYAH 1 KEPANJEN;20517759.SMK@gmail.com;20517759_SMK
SMKS MUHAMMADIYAH 2 PAGAK;20517760;SMK;0812345860;SMKS MUHAMMADIYAH 2 PAGAK;20517760.SMK@gmail.com;20517760_SMK
SMKS MUHAMMADIYAH 5 KEPANJEN;20517762;SMK;0812345861;SMKS MUHAMMADIYAH 5 KEPANJEN;20517762.SMK@gmail.com;20517762_SMK
SMKS MUHAMMADIYAH 6 DONOMULYO;20517763;SMK;0812345862;SMKS MUHAMMADIYAH 6 DONOMULYO;20517763.SMK@gmail.com;20517763_SMK
SMKS MUHAMMADIYAH 7 GONDANGLEGI;20517758;SMK;0812345863;SMKS MUHAMMADIYAH 7 GONDANGLEGI;20517758.SMK@gmail.com;20517758_SMK
SMKS MUHAMMADIYAH 8 PAKIS;20517764;SMK;0812345864;SMKS MUHAMMADIYAH 8 PAKIS;20517764.SMK@gmail.com;20517764_SMK
